
Población de los municipios de Colombia según proyecciones del DANE para el 20181?
N.°	Municipio	Departamento	Población cabecera	Población resto	Total
76	Chigorodó	Flag of Antioquia Department.svg Antioquia	72 166	9 985	82 151
77	Madrid	Flag of Cundinamarca.svg Cundinamarca	71 538	10 580	82 118
78	Caldas	Flag of Antioquia Department.svg Antioquia	63 908	16 630	80 538
79	Funza	Flag of Cundinamarca.svg Cundinamarca	74 651	4 894	79 545
80	Los Patios	Flag of Norte de Santander.svg Norte de Santander	77 053	2 296	79 349
81	Calarcá	Flag of Quindío.svg Quindío	60 703	18 073	78 776
82	La Dorada	Flag of Caldas.svg Caldas	70 006	8 129	78 135
83	El Carmen de Bolívar	Flag of Bolívar (Colombia).svg Bolívar	62 870	14 970	77 840
84	Arjona	Flag of Bolívar (Colombia).svg Bolívar	60 282	16 394	76 676
85	Espinal	Flag of Tolima.svg Tolima	58 518	17 431	75 949
86	Turbaco	Flag of Bolívar (Colombia).svg Bolívar	69 955	5 253	75 208
87	Acacías	Flag of Meta.svg Meta	62 309	11 331	73 640
88	San Andrés	Flag of San Andrés y Providencia.svg San Andrés y Providencia	54 166	19 055	73 221
89	Santa Rosa de Cabal	Flag of Risaralda.svg Risaralda	61 280	11 558	72 838
90	Copacabana	Flag of Antioquia Department.svg Antioquia	63 667	9 072	72 739
91	San Vicente del Caguán	Flag of Caquetá.svg Caquetá	45 615	26 089	71 704
92	Planeta Rica	Flag of Córdoba.svg Córdoba	43 609	25 201	68 810
93	Chiquinquirá	Flag of Boyacá Department.svg Boyacá	58 623	9 503	68 126
94	Ciénaga de Oro	Flag of Córdoba.svg Córdoba	27 377	40 557	67 934
95	San José del Guaviare	Flag of Guaviare.svg Guaviare	47 792	19 975	67 767
96	Necoclí	Flag of Antioquia Department.svg Antioquia	16 703	50 656	67 359
97	La Plata	Flag of Huila.svg Huila	27 771	38 285	66 056
98	Granada	Flag of Meta.svg Meta	55 531	10 421	65 952
99	La Estrella	Flag of Antioquia Department.svg Antioquia	38 020	27 283	65 303
100	Riosucio	Flag of Caldas.svg Caldas	20 201	43 621	63 822
101	Corozal	Flag of Sucre (Colombia).svg Sucre	52 490	11 167	63 657
102	Puerto Asís	Flag of Putumayo.svg Putumayo	34 807	27 425	62 232
103	Zona Bananera	Flag of Magdalena.svg Magdalena	5 123	56 706	61 829
104	Plato	Flag of Magdalena.svg Magdalena	47 468	13 356	60 824
105	Cajicá	Flag of Cundinamarca.svg Cundinamarca	38 203	22 176	60 379
106	Carepa	Flag of Antioquia Department.svg Antioquia	47 033	13 108	60 141
107	Villamaría	Flag of Caldas.svg Caldas	49 716	9 868	59 584
108	Baranoa	Flag of Atlántico.svg Atlántico	50 101	9 460	59 561
109	San Marcos	Flag of Sucre (Colombia).svg Sucre	34 944	24 293	59 237
110	Florida	Flag of Valle del Cauca.svg Valle del Cauca	43 501	15 270	58 771
111	Pamplona	Flag of Norte de Santander.svg Norte de Santander	55 825	2 767	58 592
112	El Cerrito	Flag of Valle del Cauca.svg Valle del Cauca	36 097	22 198	58 295
113	Girardota	Flag of Antioquia Department.svg Antioquia	34 858	23 159	58 017
114	Fundación	Flag of Magdalena.svg Magdalena	56 175	1 352	57 527
115	Pradera	Flag of Valle del Cauca.svg Valle del Cauca	50 032	7 223	57 255
116	Puerto Boyacá	Flag of Boyacá Department.svg Boyacá	38 603	17 914	56 517
117	Orito	Flag of Putumayo.svg Putumayo	26 017	30 348	56 365
118	El Banco	Flag of Magdalena.svg Magdalena	35 928	20 021	55 949
119	Marinilla	Flag of Antioquia Department.svg Antioquia	44 377	11 421	55 798
120	La Ceja	Flag of Antioquia Department.svg Antioquia	47 739	6 876	54 615
121	Tame	Flag of Arauca.svg Arauca	20 428	33 770	54 198
122	Ayapel	Flag of Córdoba.svg Córdoba	28 269	25 875	54 144
123	Sabaneta	Flag of Antioquia Department.svg Antioquia	43 078	10 835	53 913
124	Valle del Guamuez	Flag of Putumayo.svg Putumayo	20 874	32 775	53 649
125	Barbosa	Flag of Antioquia Department.svg Antioquia	24 278	28 121	52 399
126	Puerto Libertador	Flag of Córdoba.svg Córdoba	21 690	30 681	52 371
127	San Onofre	Flag of Sucre (Colombia).svg Sucre	28 310	23 226	51 536
128	Chinchiná	Flag of Caldas.svg Caldas	45 935	4 945	50 880
129	El Bagre	Flag of Antioquia Department.svg Antioquia	26 120	24 437	50 557
130	Guarne	Flag of Antioquia Department.svg Antioquia	18 906	31 495	50 401
